"disabledOnThisBranch","_id","barcode","code","zone","aisle","shelf","name","scientificName","itemId","collection","unit","category","categoryId","brand","inventory","inventoryId","quantity","quantities","packagingQuantity","expires","packaging","quantityInPackaging","quantityByDefaultPackaging","singleBadgeNumber","itemCostPrice","itemCostPriceCurrency","costPrice","costPriceIqd","costPriceUsd","sellingPriceMultiple","sellingPrice","defaultCurrency","defaultCurrencyMultiple","exRate","parentItem","parentItemId","totalCostPrice","totalCostPriceIqd","totalCostPriceUsd","costPriceCurrency","itemExpenseCost","trader","traderName","attributes","supplier","inventoryReminderQuantity","volume","weight","potentialSalesValue","display","packing","currentRent","key","rowIndex","expiryDate"
"no","6a44fbf57bd19ff6267dabc1","1185","","","","","ATTACK SHARK R2 Wireless black","","","","","MOUSE","6a44fbe37bd19ff6267d9217","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","58","$","58","0","58","65","75","$","$","","","","","0","58","$","","","","","","10","0","0","75","true","","0","6a44fbf57bd19ff6267dabc1-15","15",""
"no","6a44fbf47bd19ff6267da99e","1020","","","","","ATTACK SHARK X11 Black Wireless","","","","","MOUSE","6a44fbe37bd19ff6267d9217","","سەرەکی","6a44cc677bd19ff6267d63f4","5","","5","no","5 دانە","1","5","true","21","$","21","0","21","27","33","$","$","","","","","0","105","$","","","","","","10","0","0","165","true","","0","6a44fbf47bd19ff6267da99e-16","16",""
"no","6a44fbf57bd19ff6267dab5b","1056","","","","","ATTACK SHARK X11 White Wireless","","","","","MOUSE","6a44fbe37bd19ff6267d9217","","سەرەکی","6a44cc677bd19ff6267d63f4","7","","7","no","7 دانە","1","7","true","21","$","21","0","21","27","33","$","$","","","","","0","147","$","","","","","","10","0","0","231","true","","0","6a44fbf57bd19ff6267dab5b-17","17",""
"no","6a44fbf67bd19ff6267dacb1","1184","","","","","ATTACK SHARK X6 Black Wireless","","","","","MOUSE","6a44fbe37bd19ff6267d9217","","سەرەکی","6a44cc677bd19ff6267d63f4","4","","4","no","4 دانە","1","4","true","30","$","30","0","30","40","45","$","$","","","","","0","120","$","","","","","","10","0","0","180","true","","0","6a44fbf67bd19ff6267dacb1-18","18",""
"no","6a44fbe97bd19ff6267d9a52","437","","","","","Adapter Ziyoulang 3in1","","","","","Bundle 3","6a44fbe97bd19ff6267d9a4f","","سەرەکی","6a44cc677bd19ff6267d63f4","3","","3","no","3 دانە","1","3","true","10","$","10","0","10","20","28","$","$","","","","","0","30","$","","","","","","10","0","0","84","true","","0","6a44fbe97bd19ff6267d9a52-19","19",""
"no","6a44fbeb7bd19ff6267d9d14","439","","","","","Adata 2.5 External ed600","","","","","HARD COVER","6a44fbe67bd19ff6267d962f","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","9.5","$","9.5","0","9.5","12","14","$","$","","","","","0","19","$","","","","","","10","0","0","28","true","","0","6a44fbeb7bd19ff6267d9d14-20","20",""
"no","6a44fbed7bd19ff6267d9f68","623","","","","","Adata c906 16gb","","","","","FLASH USB","6a44fbe67bd19ff6267d9659","","سەرەکی","6a44cc677bd19ff6267d63f4","3","","3","no","3 دانە","1","3","true","4","$","4","0","4","7","10","$","$","","","","","0","12","$","","","","","","10","0","0","30","true","","0","6a44fbed7bd19ff6267d9f68-21","21",""
"no","6a44fbec7bd19ff6267d9dfe","553","","","","","Adata hd680 1tb","","","","","EXTERNAL HDD","6a44fbeb7bd19ff6267d9dd7","","سەرەکی","6a44cc677bd19ff6267d63f4","4","","4","no","4 دانە","1","4","true","44.25","$","44.25","0","44.25","70","75","$","$","","","","","0","177","$","","","","","","10","0","0","300","true","","0","6a44fbec7bd19ff6267d9dfe-22","22",""
"no","6a44fbef7bd19ff6267da2ac","732","","","","","Adata hd680 2tb","","","","","EXTERNAL HDD","6a44fbeb7bd19ff6267d9dd7","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","65","$","65","0","65","80","100","$","$","","","","","0","130","$","","","","","","10","0","0","200","true","","0","6a44fbef7bd19ff6267da2ac-23","23",""
"no","6a44fbed7bd19ff6267da01a","628","","","","","Adata sdhc 16gb","","","","","SD CARD","6a44fbed7bd19ff6267d9f73","","سەرەکی","6a44cc677bd19ff6267d63f4","4","","4","no","4 دانە","1","4","true","5","$","5","0","5","7","10","$","$","","","","","0","20","$","","","","","","10","0","0","40","true","","0","6a44fbed7bd19ff6267da01a-24","24",""
"no","6a44fbed7bd19ff6267d9f76","626","","","","","Adata sdhc 32gb","","","","","SD CARD","6a44fbed7bd19ff6267d9f73","","سەرەکی","6a44cc677bd19ff6267d63f4","3","","3","no","3 دانە","1","3","true","3.5","$","3.5","0","3.5","7","10","$","$","","","","","0","10.5","$","","","","","","10","0","0","30","true","","0","6a44fbed7bd19ff6267d9f76-25","25",""
"no","6a44fbed7bd19ff6267da02c","627","","","","","Adata sdxc micro 64gb","","","","","SD CARD","6a44fbed7bd19ff6267d9f73","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","7","$","7","0","7","12","17","$","$","","","","","0","14","$","","","","","","10","0","0","34","true","","0","6a44fbed7bd19ff6267da02c-26","26",""
